,Insurance,Policy Holders,Premium Amounts,Claim Amounts,Premium Type,Insurance Year,Casualty Year,Casualty Month,Total Vehicles Crashed,Sex,Age
33,ICICI Lombard General Insurance,3050,33568.0,31951.0,Commercial Insurance Premium,2017,2018,March,4,Female,48
34,ICICI Lombard General Insurance,3388,23994.0,83107.0,Commercial Insurance Premium,2015,2016,June,3,Male,33
35,HDFC ERGO General Insurance,1039,29508.0,26747.0,Personal Insurance Premium,2015,2016,October,6,Male,79
36,ICICI Lombard General Insurance,2346,22370.0,42085.0,Commercial Insurance Premium,2017,2018,June,6,Female,58
37,TATA AIG General Insurance,3644,43954.0,99677.0,Commercial Insurance Premium,2015,2016,May,10,Female,75
38,HDFC ERGO General Insurance,2583,24700.0,35244.0,Commercial Insurance Premium,2015,2016,July,1,Male,31
39,The New India Assurance,3552,41231.0,88394.0,Commercial Insurance Premium,2016,2017,August,1,Male,53
40,ICICI Lombard General Insurance,2981,40921.0,30965.0,Commercial Insurance Premium,2016,2017,October,5,Male,66
42,TATA AIG General Insurance,2159,38498.0,73677.0,Personal Insurance Premium,2014,2015,October,7,Female,58
44,The Oriental Insurance Company,1099,28656.0,79835.0,Commercial Insurance Premium,2017,2018,November,8,Female,73
46,ICICI Lombard General Insurance,4932,39305.0,24395.0,Personal Insurance Premium,2014,2015,February,6,Female,79
47,TATA AIG General Insurance,4252,40066.0,92825.0,Commercial Insurance Premium,2016,2017,June,2,Male,33
48,The Oriental Insurance Company,2382,40278.0,96768.0,Commercial Insurance Premium,2016,2017,March,1,Male,24
49,TATA AIG General Insurance,4937,42243.0,54135.0,Commercial Insurance Premium,2017,2018,May,9,Male,21
50,HDFC ERGO General Insurance,1213,24194.0,79787.0,Personal Insurance Premium,2014,2015,April,7,Male,46
51,The New India Assurance,4702,35480.0,75636.0,Commercial Insurance Premium,2015,2016,March,7,Male,31
54,ICICI Lombard General Insurance,3338,41899.0,70976.0,Personal Insurance Premium,2017,2018,April,9,Male,62
55,TATA AIG General Insurance,3017,28432.0,54813.0,Personal Insurance Premium,2018,2019,August,8,Female,35
57,The New India Assurance,2704,39830.0,78089.0,Personal Insurance Premium,2017,2018,November,10,Female,57
58,HDFC ERGO General Insurance,4971,48416.0,35463.0,Personal Insurance Premium,2015,2016,March,5,Male,60
59,The New India Assurance,1106,31227.0,36004.0,Personal Insurance Premium,2015,2016,June,5,Male,65
60,The Oriental Insurance Company,1837,32569.0,99048.0,Commercial Insurance Premium,2014,2015,April,3,Male,61
61,HDFC ERGO General Insurance,3624,23442.0,25385.0,Commercial Insurance Premium,2017,2018,April,4,Male,39
62,The New India Assurance,1843,23822.0,98603.0,Commercial Insurance Premium,2018,2019,March,6,Female,72
63,The Oriental Insurance Company,2442,35145.0,74710.0,Commercial Insurance Premium,2015,2016,June,7,Male,28
64,HDFC ERGO General Insurance,1826,22512.0,57370.0,Personal Insurance Premium,2018,2019,January,5,Male,41
65,The Oriental Insurance Company,2418,45437.0,80899.0,Commercial Insurance Premium,2014,2015,April,9,Female,37
66,TATA AIG General Insurance,4862,42129.0,25619.0,Commercial Insurance Premium,2017,2018,June,4,Female,55
67,TATA AIG General Insurance,2741,43930.0,78886.0,Commercial Insurance Premium,2016,2017,December,2,Female,64
68,TATA AIG General Insurance,1146,25570.0,26844.0,Personal Insurance Premium,2016,2017,March,5,Female,19
69,The New India Assurance,3532,36684.0,91086.0,Commercial Insurance Premium,2015,2016,December,10,Male,53
70,The Oriental Insurance Company,4343,36565.0,97215.0,Commercial Insurance Premium,2017,2018,September,7,Male,78
72,HDFC ERGO General Insurance,1411,36763.0,69009.0,Commercial Insurance Premium,2018,2019,April,10,Female,33
73,HDFC ERGO General Insurance,2789,26676.0,37622.0,Personal Insurance Premium,2015,2016,September,9,Male,42
74,The New India Assurance,3206,27429.0,46834.0,Commercial Insurance Premium,2016,2017,March,10,Female,72
75,HDFC ERGO General Insurance,4252,25990.0,77798.0,Commercial Insurance Premium,2016,2017,February,2,Female,34
76,The Oriental Insurance Company,4654,29338.0,55041.0,Personal Insurance Premium,2014,2015,October,7,Male,75
77,The Oriental Insurance Company,2389,25327.0,26513.0,Commercial Insurance Premium,2014,2015,April,8,Male,34
79,HDFC ERGO General Insurance,4226,34663.0,78111.0,Personal Insurance Premium,2017,2018,March,7,Male,35
80,HDFC ERGO General Insurance,3768,22404.0,61379.0,Personal Insurance Premium,2016,2017,January,1,Female,52
83,ICICI Lombard General Insurance,1255,37102.0,57754.0,Personal Insurance Premium,2017,2018,November,5,Male,70
84,ICICI Lombard General Insurance,4316,28007.0,60745.0,Personal Insurance Premium,2016,2017,May,9,Male,28
85,HDFC ERGO General Insurance,1359,36323.0,71118.0,Personal Insurance Premium,2017,2018,February,7,Male,50
86,ICICI Lombard General Insurance,1950,26663.0,42456.0,Commercial Insurance Premium,2016,2017,February,6,Male,71
87,The New India Assurance,2991,44343.0,69099.0,Personal Insurance Premium,2016,2017,July,10,Male,75
89,HDFC ERGO General Insurance,1555,35769.0,61773.0,Commercial Insurance Premium,2016,2017,August,5,Male,55
90,The Oriental Insurance Company,4258,28815.0,62200.0,Commercial Insurance Premium,2015,2016,December,10,Male,65
91,TATA AIG General Insurance,2381,35488.0,39242.0,Commercial Insurance Premium,2016,2017,May,2,Male,68
92,ICICI Lombard General Insurance,1695,48875.0,24711.0,Personal Insurance Premium,2014,2015,November,6,Female,66
94,ICICI Lombard General Insurance,3482,48194.0,44044.0,Personal Insurance Premium,2015,2016,April,7,Male,35
95,ICICI Lombard General Insurance,3004,38669.0,31718.0,Commercial Insurance Premium,2015,2016,December,9,Female,21
96,HDFC ERGO General Insurance,4896,29788.0,51703.0,Commercial Insurance Premium,2018,2019,August,1,Female,65
97,The Oriental Insurance Company,2329,20226.0,67430.0,Commercial Insurance Premium,2015,2016,July,4,Male,76
98,The Oriental Insurance Company,4852,48230.0,97451.0,Commercial Insurance Premium,2016,2017,September,10,Female,58
99,HDFC ERGO General Insurance,1530,49814.0,43671.0,Commercial Insurance Premium,2016,2017,May,4,Male,22
101,ICICI Lombard General Insurance,2537,40540.0,73036.0,Personal Insurance Premium,2017,2018,January,5,Male,65
102,ICICI Lombard General Insurance,3099,26148.0,37539.0,Commercial Insurance Premium,2016,2017,June,2,Male,61
103,The Oriental Insurance Company,1940,43240.0,20874.0,Personal Insurance Premium,2017,2018,March,4,Female,40
104,HDFC ERGO General Insurance,4957,44656.0,49438.0,Commercial Insurance Premium,2016,2017,September,1,Female,29
105,The New India Assurance,4817,30175.0,29447.0,Commercial Insurance Premium,2015,2016,June,2,Male,40
106,HDFC ERGO General Insurance,2328,38672.0,49604.0,Personal Insurance Premium,2017,2018,May,5,Female,22
107,HDFC ERGO General Insurance,4128,29893.0,94239.0,Personal Insurance Premium,2017,2018,February,4,Female,45
108,The New India Assurance,3011,38708.0,29819.0,Commercial Insurance Premium,2016,2017,August,9,Male,27
110,HDFC ERGO General Insurance,1342,39847.0,79647.0,Commercial Insurance Premium,2016,2017,November,6,Male,47
111,HDFC ERGO General Insurance,3563,28845.0,59122.0,Personal Insurance Premium,2017,2018,October,7,Female,27
112,HDFC ERGO General Insurance,4139,20833.0,76924.0,Personal Insurance Premium,2017,2018,November,2,Male,72
113,TATA AIG General Insurance,1139,20151.0,62910.0,Personal Insurance Premium,2018,2019,March,10,Female,44
114,TATA AIG General Insurance,3709,28000.0,64185.0,Personal Insurance Premium,2017,2018,April,3,Female,76
115,TATA AIG General Insurance,3521,22515.0,56196.0,Commercial Insurance Premium,2018,2019,August,2,Male,32
116,TATA AIG General Insurance,4687,46097.0,72631.0,Personal Insurance Premium,2014,2015,February,6,Female,30
117,HDFC ERGO General Insurance,2513,22672.0,81593.0,Personal Insurance Premium,2015,2016,July,2,Male,36
118,The New India Assurance,2378,44536.0,37120.0,Commercial Insurance Premium,2017,2018,September,10,Female,54
120,HDFC ERGO General Insurance,2931,32773.0,60687.0,Personal Insurance Premium,2018,2019,March,7,Male,36
121,ICICI Lombard General Insurance,4331,31904.0,96687.0,Commercial Insurance Premium,2015,2016,January,8,Male,66
122,The New India Assurance,1755,35138.0,40605.0,Commercial Insurance Premium,2018,2019,August,10,Female,65
124,HDFC ERGO General Insurance,2246,43152.0,85449.0,Commercial Insurance Premium,2016,2017,October,10,Female,31
125,The New India Assurance,1262,30975.0,87305.0,Commercial Insurance Premium,2014,2015,May,8,Male,65
127,ICICI Lombard General Insurance,2111,35192.0,59329.0,Commercial Insurance Premium,2015,2016,June,9,Male,39
130,ICICI Lombard General Insurance,3515,48240.0,61096.0,Commercial Insurance Premium,2018,2019,April,6,Female,55
131,HDFC ERGO General Insurance,3937,32293.0,41266.0,Personal Insurance Premium,2016,2017,November,8,Male,70
132,HDFC ERGO General Insurance,2222,31716.0,61057.0,Commercial Insurance Premium,2015,2016,June,2,Male,70
133,ICICI Lombard General Insurance,3188,42528.0,68617.0,Personal Insurance Premium,2017,2018,November,6,Female,28
134,HDFC ERGO General Insurance,1438,38789.0,56170.0,Commercial Insurance Premium,2018,2019,April,8,Female,46
135,TATA AIG General Insurance,3587,35634.0,98966.0,Personal Insurance Premium,2018,2019,July,10,Male,26
136,HDFC ERGO General Insurance,3854,48425.0,80294.0,Personal Insurance Premium,2018,2019,June,7,Female,70
137,The Oriental Insurance Company,4473,40327.0,69509.0,Personal Insurance Premium,2016,2017,May,9,Male,23
138,The New India Assurance,2902,22941.0,48631.0,Commercial Insurance Premium,2017,2018,June,10,Male,67
140,HDFC ERGO General Insurance,1867,33962.0,25662.0,Personal Insurance Premium,2017,2018,August,10,Male,58
141,ICICI Lombard General Insurance,4700,42230.0,34690.0,Personal Insurance Premium,2014,2015,March,4,Female,49
142,The New India Assurance,1099,47155.0,89313.0,Personal Insurance Premium,2014,2015,March,4,Male,28
145,TATA AIG General Insurance,3541,36535.0,94640.0,Personal Insurance Premium,2014,2015,June,1,Male,55
146,TATA AIG General Insurance,1016,42874.0,36021.0,Commercial Insurance Premium,2018,2019,June,5,Male,57
147,The New India Assurance,2669,30011.0,24771.0,Personal Insurance Premium,2015,2016,August,4,Male,50
149,The New India Assurance,2133,24904.0,67643.0,Commercial Insurance Premium,2014,2015,March,1,Female,59
151,ICICI Lombard General Insurance,1046,49459.0,38101.0,Commercial Insurance Premium,2018,2019,May,1,Male,78
152,HDFC ERGO General Insurance,1271,32239.0,64249.0,Personal Insurance Premium,2018,2019,August,10,Female,42
153,The New India Assurance,4387,21295.0,62439.0,Personal Insurance Premium,2014,2015,February,7,Female,33
154,The Oriental Insurance Company,3344,47505.0,83438.0,Personal Insurance Premium,2015,2016,November,9,Female,61
155,The New India Assurance,4481,30863.0,65391.0,Personal Insurance Premium,2014,2015,December,8,Female,55
156,TATA AIG General Insurance,4373,29239.0,59744.0,Personal Insurance Premium,2018,2019,March,6,Female,51
157,TATA AIG General Insurance,4505,48121.0,25578.0,Commercial Insurance Premium,2018,2019,June,1,Male,78
158,TATA AIG General Insurance,2792,39564.0,48356.0,Personal Insurance Premium,2015,2016,January,9,Female,56
159,HDFC ERGO General Insurance,2443,20138.0,42326.0,Personal Insurance Premium,2015,2016,December,3,Female,33
160,The New India Assurance,4997,23576.0,31437.0,Personal Insurance Premium,2017,2018,October,4,Male,37
161,ICICI Lombard General Insurance,4457,22402.0,70646.0,Commercial Insurance Premium,2014,2015,November,9,Male,59
162,ICICI Lombard General Insurance,1979,26794.0,53053.0,Personal Insurance Premium,2018,2019,May,7,Female,72
164,The Oriental Insurance Company,3974,43491.0,46492.0,Commercial Insurance Premium,2016,2017,August,10,Male,33
166,HDFC ERGO General Insurance,4933,27787.0,76963.0,Personal Insurance Premium,2016,2017,May,2,Female,26
168,TATA AIG General Insurance,3108,25254.0,36448.0,Personal Insurance Premium,2016,2017,March,5,Male,34
169,HDFC ERGO General Insurance,1321,26581.0,99441.0,Personal Insurance Premium,2014,2015,January,9,Female,49
170,ICICI Lombard General Insurance,4956,37579.0,29947.0,Personal Insurance Premium,2017,2018,July,5,Female,51
171,The Oriental Insurance Company,1766,21904.0,29297.0,Personal Insurance Premium,2018,2019,January,1,Female,36
174,HDFC ERGO General Insurance,4884,34244.0,98309.0,Commercial Insurance Premium,2015,2016,November,10,Female,29
176,The New India Assurance,4719,30058.0,37518.0,Personal Insurance Premium,2016,2017,June,9,Male,72
177,ICICI Lombard General Insurance,1998,40453.0,60038.0,Personal Insurance Premium,2018,2019,March,5,Male,27
178,The Oriental Insurance Company,1088,25777.0,58384.0,Commercial Insurance Premium,2015,2016,December,8,Male,51
179,The Oriental Insurance Company,2990,37244.0,20695.0,Commercial Insurance Premium,2015,2016,January,10,Female,39
180,HDFC ERGO General Insurance,4213,38657.0,27401.0,Commercial Insurance Premium,2017,2018,October,2,Male,46
182,The Oriental Insurance Company,2388,39266.0,92777.0,Personal Insurance Premium,2015,2016,September,9,Female,19
184,ICICI Lombard General Insurance,1340,38850.0,92951.0,Commercial Insurance Premium,2017,2018,November,2,Female,72
185,ICICI Lombard General Insurance,4703,31864.0,53572.0,Commercial Insurance Premium,2017,2018,January,7,Male,49
186,The New India Assurance,3544,40060.0,86832.0,Personal Insurance Premium,2017,2018,April,3,Male,47
187,TATA AIG General Insurance,3528,28209.0,60459.0,Commercial Insurance Premium,2017,2018,April,10,Female,74
188,TATA AIG General Insurance,2401,29773.0,42352.0,Personal Insurance Premium,2018,2019,June,10,Male,41
189,HDFC ERGO General Insurance,1424,42330.0,34386.0,Commercial Insurance Premium,2017,2018,October,4,Female,24
190,HDFC ERGO General Insurance,4544,23228.0,93750.0,Personal Insurance Premium,2014,2015,August,2,Male,74
194,ICICI Lombard General Insurance,3106,41106.0,55551.0,Personal Insurance Premium,2014,2015,September,7,Female,54
195,The New India Assurance,4565,43782.0,57274.0,Commercial Insurance Premium,2017,2018,January,4,Male,50
196,The Oriental Insurance Company,1077,29386.0,53957.0,Personal Insurance Premium,2014,2015,April,9,Male,51
199,HDFC ERGO General Insurance,1390,27221.0,21693.0,Personal Insurance Premium,2014,2015,March,1,Male,79
200,The New India Assurance,4137,49079.0,58798.0,Personal Insurance Premium,2017,2018,August,10,Male,52
202,TATA AIG General Insurance,2222,28525.0,49956.0,Commercial Insurance Premium,2016,2017,November,9,Female,45
203,ICICI Lombard General Insurance,1552,43729.0,81151.0,Commercial Insurance Premium,2014,2015,February,8,Female,26
204,HDFC ERGO General Insurance,4959,41505.0,99018.0,Personal Insurance Premium,2017,2018,November,6,Male,69
207,The New India Assurance,1460,23645.0,96032.0,Commercial Insurance Premium,2015,2016,June,9,Female,23
209,ICICI Lombard General Insurance,2514,34333.0,97935.0,Commercial Insurance Premium,2018,2019,December,5,Male,68
210,ICICI Lombard General Insurance,1635,34191.0,61158.0,Commercial Insurance Premium,2018,2019,August,9,Male,46
211,The Oriental Insurance Company,2521,26596.0,46110.0,Personal Insurance Premium,2015,2016,July,6,Female,19
212,The Oriental Insurance Company,1135,41252.0,77172.0,Commercial Insurance Premium,2017,2018,December,5,Male,78
213,HDFC ERGO General Insurance,3829,49664.0,31917.0,Personal Insurance Premium,2017,2018,February,5,Male,22
214,ICICI Lombard General Insurance,2452,28587.0,67030.0,Personal Insurance Premium,2015,2016,April,7,Female,47
215,HDFC ERGO General Insurance,1763,38013.0,49501.0,Commercial Insurance Premium,2017,2018,October,7,Male,60
216,The Oriental Insurance Company,4329,32980.0,74310.0,Commercial Insurance Premium,2014,2015,September,5,Male,22
217,The New India Assurance,2783,40634.0,32811.0,Personal Insurance Premium,2016,2017,December,5,Female,46
218,HDFC ERGO General Insurance,4753,27811.0,45414.0,Commercial Insurance Premium,2014,2015,June,3,Male,48
220,The New India Assurance,4512,27258.0,73973.0,Commercial Insurance Premium,2016,2017,June,2,Female,23
221,TATA AIG General Insurance,3519,34378.0,96656.0,Personal Insurance Premium,2018,2019,June,3,Female,76
222,The New India Assurance,1575,46795.0,69105.0,Commercial Insurance Premium,2017,2018,September,2,Female,60
223,The New India Assurance,1481,29915.0,81783.0,Commercial Insurance Premium,2015,2016,December,7,Male,40
224,ICICI Lombard General Insurance,3563,27418.0,30529.0,Personal Insurance Premium,2018,2019,February,8,Male,20
225,HDFC ERGO General Insurance,1017,46134.0,37956.0,Personal Insurance Premium,2014,2015,February,4,Female,21
226,ICICI Lombard General Insurance,2112,35627.0,28384.0,Commercial Insurance Premium,2015,2016,February,5,Female,26
227,The New India Assurance,1750,41281.0,64683.0,Commercial Insurance Premium,2018,2019,May,9,Male,34
228,HDFC ERGO General Insurance,4287,42928.0,46552.0,Personal Insurance Premium,2014,2015,January,7,Male,50
230,The Oriental Insurance Company,3657,40930.0,22652.0,Personal Insurance Premium,2018,2019,January,10,Male,73
231,The New India Assurance,3610,34186.0,57721.0,Personal Insurance Premium,2017,2018,February,6,Male,19
233,HDFC ERGO General Insurance,2154,38635.0,97254.0,Personal Insurance Premium,2017,2018,July,4,Male,61
234,The New India Assurance,3706,26248.0,49740.0,Commercial Insurance Premium,2017,2018,January,6,Male,72
235,ICICI Lombard General Insurance,2838,46703.0,49932.0,Commercial Insurance Premium,2015,2016,December,8,Male,46
236,ICICI Lombard General Insurance,1557,37485.0,28032.0,Commercial Insurance Premium,2014,2015,July,9,Male,20
237,The New India Assurance,1931,36642.0,45787.0,Personal Insurance Premium,2018,2019,December,7,Female,61
238,The New India Assurance,2554,23180.0,87318.0,Commercial Insurance Premium,2018,2019,March,5,Male,60
239,ICICI Lombard General Insurance,3523,49896.0,63286.0,Personal Insurance Premium,2018,2019,May,1,Female,75
240,TATA AIG General Insurance,1686,29396.0,49052.0,Commercial Insurance Premium,2017,2018,May,10,Female,24
243,The Oriental Insurance Company,4025,36183.0,72470.0,Commercial Insurance Premium,2016,2017,October,10,Female,57
244,The Oriental Insurance Company,3622,28066.0,48619.0,Commercial Insurance Premium,2018,2019,February,1,Male,79
245,TATA AIG General Insurance,2731,46995.0,31356.0,Personal Insurance Premium,2017,2018,August,7,Female,31
246,TATA AIG General Insurance,2675,31242.0,69027.0,Personal Insurance Premium,2015,2016,June,9,Female,33
247,HDFC ERGO General Insurance,2434,38896.0,83109.0,Personal Insurance Premium,2015,2016,November,10,Female,53
248,The Oriental Insurance Company,3140,40039.0,72471.0,Commercial Insurance Premium,2018,2019,July,7,Female,75
249,The Oriental Insurance Company,3507,43432.0,48350.0,Commercial Insurance Premium,2016,2017,November,8,Female,66
250,ICICI Lombard General Insurance,4978,27924.0,89688.0,Personal Insurance Premium,2014,2015,June,1,Female,66
251,The Oriental Insurance Company,3947,47037.0,94205.0,Commercial Insurance Premium,2015,2016,August,6,Male,22
252,HDFC ERGO General Insurance,3605,20429.0,33542.0,Personal Insurance Premium,2016,2017,October,7,Female,72
253,HDFC ERGO General Insurance,3682,34509.0,27171.0,Commercial Insurance Premium,2018,2019,June,7,Male,62
254,The Oriental Insurance Company,1442,47091.0,86537.0,Commercial Insurance Premium,2014,2015,March,4,Male,79
255,HDFC ERGO General Insurance,4259,28067.0,34733.0,Commercial Insurance Premium,2015,2016,April,8,Male,54
256,The Oriental Insurance Company,1407,26655.0,42565.0,Commercial Insurance Premium,2018,2019,July,1,Female,61
257,ICICI Lombard General Insurance,1281,34937.0,48161.0,Commercial Insurance Premium,2014,2015,May,5,Female,34
258,HDFC ERGO General Insurance,3843,25374.0,70292.0,Commercial Insurance Premium,2017,2018,May,2,Male,78
259,ICICI Lombard General Insurance,1441,27363.0,50265.0,Personal Insurance Premium,2017,2018,April,2,Female,65
260,ICICI Lombard General Insurance,1622,32157.0,84699.0,Personal Insurance Premium,2014,2015,December,8,Female,51
261,TATA AIG General Insurance,4579,34683.0,22493.0,Personal Insurance Premium,2017,2018,July,1,Male,24
262,TATA AIG General Insurance,1259,45835.0,63362.0,Commercial Insurance Premium,2014,2015,November,2,Male,22
264,TATA AIG General Insurance,3766,21627.0,33523.0,Commercial Insurance Premium,2018,2019,September,4,Female,45
265,The Oriental Insurance Company,2365,24572.0,56212.0,Commercial Insurance Premium,2014,2015,October,10,Male,48
266,TATA AIG General Insurance,4003,48565.0,68699.0,Personal Insurance Premium,2018,2019,July,8,Female,30
267,The Oriental Insurance Company,4574,44070.0,34019.0,Personal Insurance Premium,2015,2016,May,6,Male,50
268,TATA AIG General Insurance,3480,36423.0,70997.0,Commercial Insurance Premium,2016,2017,December,9,Female,45
269,The New India Assurance,2336,25762.0,64858.0,Commercial Insurance Premium,2018,2019,September,6,Female,49
270,ICICI Lombard General Insurance,4031,32651.0,58029.0,Personal Insurance Premium,2014,2015,August,8,Male,22
272,HDFC ERGO General Insurance,1612,43001.0,22407.0,Personal Insurance Premium,2016,2017,October,5,Male,71
273,ICICI Lombard General Insurance,3948,36913.0,56219.0,Personal Insurance Premium,2015,2016,May,8,Female,64
274,The New India Assurance,1325,44687.0,42984.0,Commercial Insurance Premium,2016,2017,May,10,Male,52
275,ICICI Lombard General Insurance,4184,40693.0,23759.0,Commercial Insurance Premium,2018,2019,March,2,Female,69
276,ICICI Lombard General Insurance,3360,42953.0,57937.0,Personal Insurance Premium,2015,2016,December,2,Female,43
277,HDFC ERGO General Insurance,3620,39184.0,50074.0,Personal Insurance Premium,2017,2018,May,3,Male,73
278,TATA AIG General Insurance,3697,39388.0,73861.0,Personal Insurance Premium,2015,2016,July,3,Female,32
279,The New India Assurance,2218,34630.0,66745.0,Commercial Insurance Premium,2016,2017,April,4,Male,24
281,HDFC ERGO General Insurance,3721,35645.0,98553.0,Commercial Insurance Premium,2017,2018,May,9,Female,63
282,TATA AIG General Insurance,2093,22471.0,43125.0,Personal Insurance Premium,2016,2017,May,4,Male,23
283,The Oriental Insurance Company,3684,24371.0,72759.0,Personal Insurance Premium,2014,2015,August,9,Male,55
284,TATA AIG General Insurance,4465,24937.0,49286.0,Personal Insurance Premium,2018,2019,December,6,Female,73
285,The Oriental Insurance Company,2231,21198.0,84223.0,Commercial Insurance Premium,2015,2016,June,7,Female,28
286,The New India Assurance,4323,31669.0,56596.0,Personal Insurance Premium,2018,2019,December,9,Male,22
287,The New India Assurance,2564,20912.0,54482.0,Commercial Insurance Premium,2014,2015,September,3,Male,33
288,The Oriental Insurance Company,1322,23399.0,90519.0,Commercial Insurance Premium,2016,2017,September,1,Male,18
289,ICICI Lombard General Insurance,4082,42631.0,83373.0,Commercial Insurance Premium,2014,2015,June,2,Male,69
290,The Oriental Insurance Company,2764,41806.0,70292.0,Personal Insurance Premium,2015,2016,September,8,Female,79
291,The New India Assurance,2795,35359.0,45333.0,Commercial Insurance Premium,2014,2015,October,2,Male,53
292,TATA AIG General Insurance,2968,38242.0,27062.0,Commercial Insurance Premium,2014,2015,October,1,Male,44
293,The New India Assurance,4843,39888.0,37851.0,Personal Insurance Premium,2016,2017,October,5,Male,41
294,TATA AIG General Insurance,3839,48429.0,70934.0,Personal Insurance Premium,2014,2015,May,10,Female,19
295,HDFC ERGO General Insurance,1731,31578.0,61882.0,Personal Insurance Premium,2014,2015,November,6,Female,54
296,HDFC ERGO General Insurance,2719,48153.0,40069.0,Personal Insurance Premium,2014,2015,August,2,Male,66
297,ICICI Lombard General Insurance,1290,47663.0,22144.0,Personal Insurance Premium,2015,2016,May,3,Female,52
298,The New India Assurance,4365,31224.0,41820.0,Commercial Insurance Premium,2017,2018,February,8,Male,52
299,ICICI Lombard General Insurance,4377,22195.0,90353.0,Personal Insurance Premium,2015,2016,August,1,Female,69
300,TATA AIG General Insurance,1855,44457.0,51250.0,Personal Insurance Premium,2016,2017,February,2,Female,31
301,ICICI Lombard General Insurance,2877,29810.0,24807.0,Commercial Insurance Premium,2015,2016,July,8,Male,59
302,TATA AIG General Insurance,1665,28680.0,92179.0,Commercial Insurance Premium,2017,2018,August,10,Female,71
303,TATA AIG General Insurance,3449,35549.0,98966.0,Personal Insurance Premium,2017,2018,August,4,Female,38
304,ICICI Lombard General Insurance,2210,25184.0,49166.0,Commercial Insurance Premium,2017,2018,June,7,Male,64
305,ICICI Lombard General Insurance,1194,29820.0,89817.0,Personal Insurance Premium,2015,2016,May,4,Female,23
306,The Oriental Insurance Company,2325,42862.0,24815.0,Commercial Insurance Premium,2014,2015,April,5,Female,65
307,TATA AIG General Insurance,4082,22031.0,76862.0,Personal Insurance Premium,2018,2019,December,1,Male,58
308,The Oriental Insurance Company,2160,39255.0,22297.0,Personal Insurance Premium,2014,2015,April,4,Female,31
309,ICICI Lombard General Insurance,1757,44107.0,65295.0,Personal Insurance Premium,2017,2018,October,4,Male,52
312,HDFC ERGO General Insurance,1355,21925.0,42293.0,Personal Insurance Premium,2017,2018,February,6,Female,76
313,The New India Assurance,4651,31576.0,23752.0,Personal Insurance Premium,2015,2016,December,9,Female,73
315,HDFC ERGO General Insurance,4393,42472.0,21850.0,Personal Insurance Premium,2014,2015,November,6,Female,75
316,HDFC ERGO General Insurance,3567,37860.0,73153.0,Commercial Insurance Premium,2014,2015,August,3,Female,36
317,TATA AIG General Insurance,1454,38834.0,61894.0,Personal Insurance Premium,2018,2019,May,6,Female,37
